Secuencia,Mano,Punto,X,Y,Z
1,Derecha,0,0.13184446096420288,0.7347369194030762,1.4404088233277434e-07
1,Derecha,1,0.10820440948009491,0.6387622952461243,0.013161365874111652
1,Derecha,2,0.12053021043539047,0.5495409965515137,0.014934958890080452
1,Derecha,3,0.14461195468902588,0.4950292706489563,0.012786934152245522
1,Derecha,4,0.17457838356494904,0.47327733039855957,0.010298386216163635
1,Derecha,5,0.13581790030002594,0.5169617533683777,0.01081786211580038
1,Derecha,6,0.16553954780101776,0.46135643124580383,0.005775683559477329
1,Derecha,7,0.18673840165138245,0.4349253177642822,-0.0005280546029098332
1,Derecha,8,0.20362268388271332,0.41706907749176025,-0.00581233948469162
1,Derecha,9,0.15789306163787842,0.5495811700820923,-0.002408332657068968
1,Derecha,10,0.17961741983890533,0.4984399080276489,-0.004118267446756363
1,Derecha,11,0.1973647028207779,0.47200876474380493,-0.009837032295763493
1,Derecha,12,0.2112501859664917,0.44926923513412476,-0.015525147318840027
1,Derecha,13,0.17895245552062988,0.596001148223877,-0.015156194567680359
1,Derecha,14,0.1935577690601349,0.555128276348114,-0.018835460767149925
1,Derecha,15,0.20652355253696442,0.5256884098052979,-0.019846338778734207
1,Derecha,16,0.21728357672691345,0.500609278678894,-0.021852847188711166
1,Derecha,17,0.2015715390443802,0.6502835750579834,-0.02665448747575283
1,Derecha,18,0.21229209005832672,0.6193267107009888,-0.026376159861683846
1,Derecha,19,0.21938590705394745,0.597387433052063,-0.02042582631111145
1,Derecha,20,0.22589153051376343,0.5761096477508545,-0.016631921753287315
1,Derecha,0,0.19507458806037903,0.6894733905792236,-4.1112244275609555e-08
1,Derecha,1,0.16918683052062988,0.6141979694366455,0.024913210421800613
1,Derecha,2,0.16753344237804413,0.5354014039039612,0.026259062811732292
1,Derecha,3,0.16281193494796753,0.4789484143257141,0.020679732784628868
1,Derecha,4,0.15006303787231445,0.4417688548564911,0.013955019414424896
1,Derecha,5,0.18414422869682312,0.4377340078353882,0.01279151625931263
1,Derecha,6,0.22036287188529968,0.36248868703842163,0.00019877635349985212
1,Derecha,7,0.2436433732509613,0.3388822078704834,-0.010195353999733925
1,Derecha,8,0.25890395045280457,0.32742244005203247,-0.017589563503861427
1,Derecha,9,0.20573113858699799,0.45095956325531006,-0.009162436239421368
1,Derecha,10,0.24477316439151764,0.3687655031681061,-0.01700638234615326
1,Derecha,11,0.27117881178855896,0.3482613265514374,-0.02058132365345955
1,Derecha,12,0.2902766764163971,0.33700400590896606,-0.024938253685832024
1,Derecha,13,0.22813725471496582,0.4829981029033661,-0.03071233630180359
1,Derecha,14,0.2607203722000122,0.4004884660243988,-0.03842727839946747
1,Derecha,15,0.28442952036857605,0.3773684501647949,-0.03745253011584282
1,Derecha,16,0.3008427321910858,0.36023613810539246,-0.03921988233923912
1,Derecha,17,0.2531004548072815,0.5281609296798706,-0.050351787358522415
1,Derecha,18,0.27839067578315735,0.48481857776641846,-0.053556278347969055
1,Derecha,19,0.2936791181564331,0.46275728940963745,-0.05005114898085594
1,Derecha,20,0.30333974957466125,0.44135087728500366,-0.049356404691934586
1,Derecha,0,0.2081347405910492,0.740391731262207,2.6049676193906635e-07
1,Derecha,1,0.18143190443515778,0.659770131111145,0.0067637087777256966
1,Derecha,2,0.1734616458415985,0.5760290026664734,0.0009507902432233095
1,Derecha,3,0.17471571266651154,0.5105485916137695,-0.007939844392240047
1,Derecha,4,0.1657932996749878,0.4636477530002594,-0.017739947885274887
1,Derecha,5,0.18206992745399475,0.5317955613136292,-0.016895409673452377
1,Derecha,6,0.2175867259502411,0.43069902062416077,-0.034546226263046265
1,Derecha,7,0.24244876205921173,0.3772708475589752,-0.044564858078956604
1,Derecha,8,0.26031816005706787,0.33619922399520874,-0.05004476383328438
1,Derecha,9,0.20577289164066315,0.546859622001648,-0.032667119055986404
1,Derecha,10,0.24404104053974152,0.43468567728996277,-0.047405920922756195
1,Derecha,11,0.26838940382003784,0.3745303153991699,-0.0544532872736454
1,Derecha,12,0.2863572835922241,0.32535725831985474,-0.059144407510757446
1,Derecha,13,0.234684556722641,0.5698105096817017,-0.04764024168252945
1,Derecha,14,0.271899551153183,0.462433785200119,-0.059087712317705154
1,Derecha,15,0.29191356897354126,0.40117403864860535,-0.06192387267947197
1,Derecha,16,0.3063899874687195,0.3525908589363098,-0.06395570933818817
1,Derecha,17,0.26955515146255493,0.600433886051178,-0.062082018703222275
1,Derecha,18,0.29662448167800903,0.5175248384475708,-0.06840028613805771
1,Derecha,19,0.3112390339374542,0.4701998829841614,-0.06661064177751541
1,Derecha,20,0.3233546018600464,0.4300980567932129,-0.06509552150964737
1,Derecha,0,0.21149194240570068,0.7313624620437622,4.105738469206699e-07
1,Derecha,1,0.18453511595726013,0.657065212726593,0.0051228757947683334
1,Derecha,2,0.17704463005065918,0.5766080021858215,0.0009912339737638831
1,Derecha,3,0.1779920756816864,0.5133134722709656,-0.005177208222448826
1,Derecha,4,0.16618125140666962,0.4703291654586792,-0.012326727621257305
1,Derecha,5,0.19649672508239746,0.5390800833702087,-0.0162768866866827
1,Derecha,6,0.23123422265052795,0.44178420305252075,-0.03246789798140526
1,Derecha,7,0.25369793176651,0.38626575469970703,-0.04152967035770416
1,Derecha,8,0.2705778479576111,0.3434675633907318,-0.04605549946427345
